City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
Ushuaia,AR,1586644613,-54.8,-68.3,40,80,41.0,23.04
Ardatov,RU,1586644688,55.24,43.1,100,82,32.54,13.78
Puerto Ayora,EC,1586644688,-0.74,-90.35,40,70,84.2,9.17
Chichihualco,MX,1586644688,17.68,-99.65,32,18,85.15,6.38
Luganville,VU,1586644688,-15.53,167.17,40,69,82.4,6.93
Hermanus,ZA,1586644688,-34.42,19.23,100,68,70.0,13.0
Port Alfred,ZA,1586644689,-33.59,26.89,80,91,66.0,4.63
Lebu,CL,1586644689,-37.62,-73.65,0,70,53.51,15.1
Dongsheng,CN,1586644689,39.82,109.98,0,29,40.1,4.7
Padang,ID,1586644486,-0.95,100.35,91,75,79.48,4.94
Yellowknife,CA,1586644459,62.46,-114.35,75,52,19.4,18.34
Tuktoyaktuk,CA,1586644689,69.45,-133.04,20,92,5.0,10.29
Busselton,AU,1586644478,-33.65,115.33,84,70,71.01,9.33
Puertollano,ES,1586644603,38.69,-4.11,92,86,60.01,0.81
Bredasdorp,ZA,1586644689,-34.53,20.04,100,49,71.6,18.34
Dhidhdhoo,MV,1586644689,6.88,73.1,36,64,85.55,5.93
Teguise,ES,1586644689,29.06,-13.56,20,68,66.2,11.41
Upata,VE,1586644689,8.01,-62.4,99,53,78.91,8.41
Lorengau,PG,1586644690,-2.02,147.27,36,68,84.99,2.37
Adrar,MR,1586644513,20.5,-10.07,0,17,80.47,10.92
New Norfolk,AU,1586644457,-42.78,147.06,40,58,54.0,12.75
Lewiston,US,1586644690,44.1,-70.21,1,38,45.0,18.34
Hobart,AU,1586644690,-42.88,147.33,40,58,54.0,12.75
Touros,BR,1586644407,-5.2,-35.46,20,88,80.6,5.82
Kashgar,CN,1586644690,39.45,75.98,95,18,59.0,4.47
Mayumba,GA,1586644690,-3.43,10.66,99,88,78.3,12.44
Rikitea,PF,1586644456,-23.12,-134.97,62,75,78.12,5.64
Wanning,CN,1586644690,18.8,110.4,99,87,75.09,14.81
Hilo,US,1586644469,19.73,-155.09,1,62,84.2,8.05
Angoche,MZ,1586644485,-16.23,39.91,57,81,73.15,5.3
Atuona,PF,1586644690,-9.8,-139.03,48,66,82.89,5.77
Vaini,TO,1586644455,-21.2,-175.2,40,65,80.6,4.7
Mar del Plata,AR,1586644446,-38.0,-57.56,69,67,64.99,6.93
Albany,US,1586644691,42.6,-73.97,40,31,48.99,17.22
Hobyo,SO,1586644691,5.35,48.53,4,75,81.97,11.1
Punta Arenas,CL,1586644476,-53.15,-70.92,49,65,46.4,5.82
Noumea,NC,1586644691,-22.28,166.46,90,54,79.0,2.24
Nuuk,GL,1586644503,64.18,-51.72,100,80,33.8,12.75
Arraial do Cabo,BR,1586644691,-22.97,-42.03,75,83,71.6,5.82
Saint George,US,1586644678,37.1,-113.58,1,32,69.01,16.11
Cape Town,ZA,1586644691,-33.93,18.42,75,88,64.99,21.92
Khatanga,RU,1586644691,71.97,102.5,66,94,8.1,8.23
Mashivka,UA,1586644691,49.44,34.87,4,74,37.27,11.39
Butaritari,KI,1586644692,3.07,172.79,88,74,84.04,10.36
Cavalcante,BR,1586644692,-13.8,-47.46,89,66,70.84,1.07
Mataura,NZ,1586644692,-46.19,168.86,93,61,59.0,4.0
Hervey Bay,AU,1586644692,-25.3,152.85,20,43,80.01,5.82
Qeshm,IR,1586644692,26.96,56.27,100,83,78.8,9.17
Feijó,BR,1586644692,-8.16,-70.35,81,88,76.17,1.12
Clyde River,CA,1586644454,70.47,-68.59,75,84,6.8,11.41
Vardø,NO,1586644462,70.37,31.11,46,92,26.24,8.48
Longyearbyen,SJ,1586644473,78.22,15.64,20,76,-7.6,2.24
Florianópolis,BR,1586644692,-27.61,-48.5,40,64,69.8,8.05
Gilgit,PK,1586644692,35.92,74.31,46,23,51.84,2.06
Hithadhoo,MV,1586644630,-0.6,73.08,5,67,84.36,8.81
Bluff,NZ,1586644452,-46.6,168.33,82,61,59.0,4.0
Fort Nelson,CA,1586644493,58.81,-122.7,40,29,37.4,9.17
Kazanskoye,RU,1586644693,55.64,69.23,98,72,40.37,7.02
Saint-Philippe,RE,1586644458,-21.36,55.77,26,78,73.99,5.82
